Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,29980,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,40481,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,29492,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,26126,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,17152,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,21937,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,37532,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,31661,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,28152,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,490254,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,62672,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,55769,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,66004,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,64020,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,61571,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,39413,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,39860,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,41525,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,33761,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,25659,Single Adults,all,Title 8
%all%,%all%,%all%,%all%,%all%,%all%,1021378,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JUL,JUL,125403,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JUN,JUN,114300,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,MAY,MAY,135493,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,APR,APR,135404,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,MAR,MAR,110581,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,FEB,FEB,72913,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JAN,JAN,75210,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,DEC,DEC,97100,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,NOV,NOV,84658,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,OCT,OCT,70316,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,21624,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,1957,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,1893,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,2177,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,2250,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,2401,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,2271,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,2190,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,2311,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,2337,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,1837,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,1849,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUL,JUL,199,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,110,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,196,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,205,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,207,Accompanied Minors,all,Title 42
