Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2021,2021,FEB,FEB,10112,all,all,FMUA,Title 8
2022,2022,FEB,FEB,18708,all,all,FMUA,Title 8
2020,2020,JAN,JAN,8198,all,all,FMUA,Title 8
2021,2021,JAN,JAN,2750,all,all,FMUA,Title 8
2022,2022,JAN,JAN,23518,all,all,FMUA,Title 8
2020,2020,DEC,DEC,12053,all,all,FMUA,Title 8
2021,2021,DEC,DEC,1074,all,all,FMUA,Title 8
2022,2022,DEC,DEC,39842,all,all,FMUA,Title 8
2023 (FYTD),2023 (FYTD),DEC,DEC,69156,all,all,FMUA,Title 8
2020,2020,NOV,NOV,13144,all,all,FMUA,Title 8
2021,2021,NOV,NOV,661,all,all,FMUA,Title 8
2022,2022,NOV,NOV,33441,all,all,FMUA,Title 8
2023 (FYTD),2023 (FYTD),NOV,NOV,55519,all,all,FMUA,Title 8
2020,2020,OCT,OCT,13719,all,all,FMUA,Title 8
2021,2021,OCT,OCT,526,all,all,FMUA,Title 8
2022,2022,OCT,OCT,29388,all,all,FMUA,Title 8
2023 (FYTD),2023 (FYTD),OCT,OCT,53046,all,all,FMUA,Title 8
2020,2020,SEP,SEP,2995,all,all,FMUA,Title 42
2021,2021,SEP,SEP,17599,all,all,FMUA,Title 42
2022,2022,SEP,SEP,5714,all,all,FMUA,Title 42
2020,2020,AUG,AUG,2187,all,all,FMUA,Title 42
2021,2021,AUG,AUG,17070,all,all,FMUA,Title 42
2022,2022,AUG,AUG,6522,all,all,FMUA,Title 42
2020,2020,JUL,JUL,1563,all,all,FMUA,Title 42
2021,2021,JUL,JUL,10110,all,all,FMUA,Title 42
2022,2022,JUL,JUL,9918,all,all,FMUA,Title 42
2020,2020,JUN,JUN,1307,all,all,FMUA,Title 42
2021,2021,JUN,JUN,8028,all,all,FMUA,Title 42
2022,2022,JUN,JUN,14266,all,all,FMUA,Title 42
2020,2020,MAY,MAY,871,all,all,FMUA,Title 42
2021,2021,MAY,MAY,9320,all,all,FMUA,Title 42
2022,2022,MAY,MAY,10690,all,all,FMUA,Title 42
2020,2020,APR,APR,630,all,all,FMUA,Title 42
2021,2021,APR,APR,17930,all,all,FMUA,Title 42
2022,2022,APR,APR,7592,all,all,FMUA,Title 42
2020,2020,MAR,MAR,497,all,all,FMUA,Title 42
2021,2021,MAR,MAR,21572,all,all,FMUA,Title 42
2022,2022,MAR,MAR,7927,all,all,FMUA,Title 42
2021,2021,FEB,FEB,9478,all,all,FMUA,Title 42
2022,2022,FEB,FEB,8014,all,all,FMUA,Title 42
2021,2021,JAN,JAN,4546,all,all,FMUA,Title 42
2022,2022,JAN,JAN,8485,all,all,FMUA,Title 42
2021,2021,DEC,DEC,3332,all,all,FMUA,Title 42
2022,2022,DEC,DEC,11905,all,all,FMUA,Title 42
2023 (FYTD),2023 (FYTD),DEC,DEC,7932,all,all,FMUA,Title 42
2021,2021,NOV,NOV,3641,all,all,FMUA,Title 42
2022,2022,NOV,NOV,11620,all,all,FMUA,Title 42
2023 (FYTD),2023 (FYTD),NOV,NOV,7797,all,all,FMUA,Title 42
2021,2021,OCT,OCT,4221,all,all,FMUA,Title 42
2022,2022,OCT,OCT,13410,all,all,FMUA,Title 42
2023 (FYTD),2023 (FYTD),OCT,OCT,6761,all,all,FMUA,Title 42
2020,2020,SEP,SEP,49810,all,all,Single Adults,all
2021,2021,SEP,SEP,113030,all,all,Single Adults,all
2022,2022,SEP,SEP,161381,all,all,Single Adults,all
2020,2020,AUG,AUG,44095,all,all,Single Adults,all
2021,2021,AUG,AUG,103980,all,all,Single Adults,all
2022,2022,AUG,AUG,140678,all,all,Single Adults,all
2020,2020,JUL,JUL,36302,all,all,Single Adults,all
2021,2021,JUL,JUL,110835,all,all,Single Adults,all
2022,2022,JUL,JUL,134570,all,all,Single Adults,all
2020,2020,JUN,JUN,29623,all,all,Single Adults,all
2021,2021,JUN,JUN,117739,all,all,Single Adults,all
2022,2022,JUN,JUN,140610,all,all,Single Adults,all
2020,2020,MAY,MAY,21147,all,all,Single Adults,all
2021,2021,MAY,MAY,121643,all,all,Single Adults,all
2022,2022,MAY,MAY,166670,all,all,Single Adults,all
2020,2020,APR,APR,15609,all,all,Single Adults,all
2021,2021,APR,APR,111500,all,all,Single Adults,all
2022,2022,APR,APR,168197,all,all,Single Adults,all
2020,2020,MAR,MAR,26564,all,all,Single Adults,all
2021,2021,MAR,MAR,100116,all,all,Single Adults,all
2022,2022,MAR,MAR,170264,all,all,Single Adults,all
2020,2020,FEB,FEB,26042,all,all,Single Adults,all
2021,2021,FEB,FEB,71962,all,all,Single Adults,all
2022,2022,FEB,FEB,127080,all,all,Single Adults,all
2020,2020,JAN,JAN,25278,all,all,Single Adults,all
2021,2021,JAN,JAN,65193,all,all,Single Adults,all
2022,2022,JAN,JAN,113884,all,all,Single Adults,all
2020,2020,DEC,DEC,24812,all,all,Single Adults,all
2021,2021,DEC,DEC,64536,all,all,Single Adults,all
2022,2022,DEC,DEC,115323,all,all,Single Adults,all
2023 (FYTD),2023 (FYTD),DEC,DEC,161808,all,all,Single Adults,all
2020,2020,NOV,NOV,25769,all,all,Single Adults,all
2021,2021,NOV,NOV,63131,all,all,Single Adults,all
2022,2022,NOV,NOV,115552,all,all,Single Adults,all
2023 (FYTD),2023 (FYTD),NOV,NOV,158218,all,all,Single Adults,all
2020,2020,OCT,OCT,28117,all,all,Single Adults,all
2021,2021,OCT,OCT,62260,all,all,Single Adults,all
2022,2022,OCT,OCT,109069,all,all,Single Adults,all
2023 (FYTD),2023 (FYTD),OCT,OCT,159203,all,all,Single Adults,all
2020,2020,SEP,SEP,5414,all,all,Single Adults,Title 8
2021,2021,SEP,SEP,28119,all,all,Single Adults,Title 8
2022,2022,SEP,SEP,92979,all,all,Single Adults,Title 8
2020,2020,AUG,AUG,4513,all,all,Single Adults,Title 8
2021,2021,AUG,AUG,25922,all,all,Single Adults,Title 8
2022,2022,AUG,AUG,72710,all,all,Single Adults,Title 8
2020,2020,JUL,JUL,3352,all,all,Single Adults,Title 8
2021,2021,JUL,JUL,24970,all,all,Single Adults,Title 8
2022,2022,JUL,JUL,66979,all,all,Single Adults,Title 8
2020,2020,JUN,JUN,2714,all,all,Single Adults,Title 8
2021,2021,JUN,JUN,20967,all,all,Single Adults,Title 8
2022,2022,JUN,JUN,60307,all,all,Single Adults,Title 8
2020,2020,MAY,MAY,2100,all,all,Single Adults,Title 8
2021,2021,MAY,MAY,17686,all,all,Single Adults,Title 8
2022,2022,MAY,MAY,71783,all,all,Single Adults,Title 8
2020,2020,APR,APR,1409,all,all,Single Adults,Title 8
2021,2021,APR,APR,16933,all,all,Single Adults,Title 8
2022,2022,APR,APR,75420,all,all,Single Adults,Title 8
2020,2020,MAR,MAR,20378,all,all,Single Adults,Title 8
2021,2021,MAR,MAR,12537,all,all,Single Adults,Title 8
2022,2022,MAR,MAR,66317,all,all,Single Adults,Title 8
2020,2020,FEB,FEB,26042,all,all,Single Adults,Title 8
2021,2021,FEB,FEB,7270,all,all,Single Adults,Title 8
2022,2022,FEB,FEB,42126,all,all,Single Adults,Title 8
2020,2020,JAN,JAN,25278,all,all,Single Adults,Title 8
2021,2021,JAN,JAN,5539,all,all,Single Adults,Title 8
2022,2022,JAN,JAN,42828,all,all,Single Adults,Title 8
2020,2020,DEC,DEC,24812,all,all,Single Adults,Title 8
2021,2021,DEC,DEC,5592,all,all,Single Adults,Title 8
2022,2022,DEC,DEC,45306,all,all,Single Adults,Title 8
2023 (FYTD),2023 (FYTD),DEC,DEC,120562,all,all,Single Adults,Title 8
2020,2020,NOV,NOV,25769,all,all,Single Adults,Title 8
2021,2021,NOV,NOV,5143,all,all,Single Adults,Title 8
2022,2022,NOV,NOV,37209,all,all,Single Adults,Title 8
2023 (FYTD),2023 (FYTD),NOV,NOV,97632,all,all,Single Adults,Title 8
2020,2020,OCT,OCT,28117,all,all,Single Adults,Title 8
2021,2021,OCT,OCT,4873,all,all,Single Adults,Title 8
2022,2022,OCT,OCT,28075,all,all,Single Adults,Title 8
2023 (FYTD),2023 (FYTD),OCT,OCT,86323,all,all,Single Adults,Title 8
2020,2020,SEP,SEP,44396,all,all,Single Adults,Title 42
2021,2021,SEP,SEP,84911,all,all,Single Adults,Title 42
2022,2022,SEP,SEP,68402,all,all,Single Adults,Title 42
2020,2020,AUG,AUG,39582,all,all,Single Adults,Title 42
2021,2021,AUG,AUG,78058,all,all,Single Adults,Title 42
2022,2022,AUG,AUG,67968,all,all,Single Adults,Title 42
2020,2020,JUL,JUL,32950,all,all,Single Adults,Title 42
2021,2021,JUL,JUL,85865,all,all,Single Adults,Title 42
2022,2022,JUL,JUL,67591,all,all,Single Adults,Title 42
2020,2020,JUN,JUN,26909,all,all,Single Adults,Title 42
2021,2021,JUN,JUN,96772,all,all,Single Adults,Title 42
2022,2022,JUN,JUN,80303,all,all,Single Adults,Title 42
2020,2020,MAY,MAY,19047,all,all,Single Adults,Title 42
2021,2021,MAY,MAY,103957,all,all,Single Adults,Title 42
2022,2022,MAY,MAY,94887,all,all,Single Adults,Title 42
2020,2020,APR,APR,14200,all,all,Single Adults,Title 42
2021,2021,APR,APR,94567,all,all,Single Adults,Title 42
2022,2022,APR,APR,92777,all,all,Single Adults,Title 42
2020,2020,MAR,MAR,6186,all,all,Single Adults,Title 42
2021,2021,MAR,MAR,87579,all,all,Single Adults,Title 42
2022,2022,MAR,MAR,103947,all,all,Single Adults,Title 42
2021,2021,FEB,FEB,64692,all,all,Single Adults,Title 42
2022,2022,FEB,FEB,84954,all,all,Single Adults,Title 42
2021,2021,JAN,JAN,59654,all,all,Single Adults,Title 42
2022,2022,JAN,JAN,71056,all,all,Single Adults,Title 42
2021,2021,DEC,DEC,58944,all,all,Single Adults,Title 42
