Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2019,2019,JAN,JAN,28417,all,all,FMUA,Title 8
2020,2020,JAN,JAN,8198,all,all,FMUA,Title 8
2021,2021,JAN,JAN,2750,all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,23518,all,all,FMUA,Title 8
2019,2019,DEC,DEC,31897,all,all,FMUA,Title 8
2020,2020,DEC,DEC,12053,all,all,FMUA,Title 8
2021,2021,DEC,DEC,1074,all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,39840,all,all,FMUA,Title 8
2019,2019,NOV,NOV,30153,all,all,FMUA,Title 8
2020,2020,NOV,NOV,13144,all,all,FMUA,Title 8
2021,2021,NOV,NOV,661,all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,33444,all,all,FMUA,Title 8
2019,2019,OCT,OCT,27294,all,all,FMUA,Title 8
2020,2020,OCT,OCT,13719,all,all,FMUA,Title 8
2021,2021,OCT,OCT,526,all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,29397,all,all,FMUA,Title 8
2020,2020,SEP,SEP,2995,all,all,FMUA,Title 42
2021,2021,SEP,SEP,17599,all,all,FMUA,Title 42
2020,2020,AUG,AUG,2187,all,all,FMUA,Title 42
2021,2021,AUG,AUG,17070,all,all,FMUA,Title 42
2020,2020,JUL,JUL,1563,all,all,FMUA,Title 42
2021,2021,JUL,JUL,10110,all,all,FMUA,Title 42
2020,2020,JUN,JUN,1307,all,all,FMUA,Title 42
2021,2021,JUN,JUN,8028,all,all,FMUA,Title 42
2020,2020,MAY,MAY,871,all,all,FMUA,Title 42
2021,2021,MAY,MAY,9320,all,all,FMUA,Title 42
2020,2020,APR,APR,630,all,all,FMUA,Title 42
2021,2021,APR,APR,17930,all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,7058,all,all,FMUA,Title 42
